,cellMass,time,predyn,generation,class
0,1317.65819335554,0,0,0,0
1,1331.654867894044,60,0,0,0
2,1348.5350896052382,120,0,0,0
3,1366.5037103252298,180,0,0,0
4,1384.7766748003094,240,0,0,0
5,1404.6602616554642,300,0,0,0
6,1425.476857240841,360,0,0,0
7,1445.7825079967572,420,0,0,0
8,1465.9970377941377,480,0,0,0
9,1486.4557351646054,540,0,0,0
10,1507.0642801337715,600,0,0,0
11,1528.6174291417904,660,0,0,0
12,1551.0339547809651,720,0,0,0
13,1573.1802480735437,780,0,0,0
14,1594.627124,840,0,0,0
15,1616.3316674105167,900,0,0,0
16,1637.5513325153308,960,0,0,1
17,1658.763948,1020,0,0,1
18,1680.6156191593914,1080,0,0,0
19,1702.690638950543,1140,0,0,0
20,1724.8606056281585,1200,0,0,0
21,1747.251825635414,1260,1,0,1
22,1770.1242192862576,1320,1,0,0
23,1793.4777865806898,1380,1,0,1
24,1817.3125275187103,1440,1,0,0
25,1841.6284421003195,1500,1,0,0
26,1866.4255303255168,1560,1,0,1
27,1891.7037921943029,1620,1,0,1
28,1917.463227706677,1680,1,0,1
29,1943.703837,1740,1,0,1
30,1970.4256196621911,1800,1,0,1
31,1997.628576105331,1860,1,0,1
32,2025.312706192059,1920,1,0,1
33,2053.478009922376,1980,1,0,1
34,2082.124487296281,2040,1,0,1
35,2111.2521383137746,2100,1,0,1
36,2140.8609629748566,2160,1,0,1
37,2170.9509612795277,2220,1,0,1
38,2201.522133227786,2280,1,0,1
39,2232.574478819633,2340,1,0,1
40,2264.1079980550694,2400,1,0,1
41,2296.122690934093,2460,1,0,1
42,1135.745174738792,2501,0,1,0
43,1152.0097648801004,2561,0,1,0
44,1167.3973193801633,2621,0,1,0
45,1182.6482672268971,2681,0,1,0
46,1198.4818684739428,2741,0,1,0
47,1214.1410361088208,2801,0,1,0
48,1229.891506347866,2861,0,1,0
49,1245.7948414781108,2921,0,1,0
50,1262.3082554565312,2981,0,1,0
51,1278.6102167166098,3041,0,1,0
52,1295.6440387939022,3101,0,1,0
53,1312.8335602435786,3161,0,1,0
54,1329.915651687539,3221,0,1,0
55,1347.3349085108052,3281,0,1,0
56,1364.6822174420925,3341,0,1,0
57,1381.9989929952533,3401,0,1,0
58,1399.783459019661,3461,0,1,0
59,1416.9538843010605,3521,0,1,0
60,1434.2727110551532,3581,0,1,0
61,1451.596284411944,3641,0,1,0
62,1468.882739651554,3701,0,1,0
63,1486.193478034693,3761,0,1,0
64,1503.6051614715295,3821,0,1,0
65,1521.4358809832188,3881,0,1,0
66,1539.266600495023,3941,1,1,0
67,1557.0973200068277,4001,1,1,0
68,1574.928039518632,4061,1,1,0
69,1592.7587590304363,4121,1,1,0
70,1610.5894785422406,4181,1,1,0
71,1628.420198054045,4241,1,1,0
72,1646.2509175658492,4301,1,1,0
73,1664.0816370776536,4361,1,1,0
74,1681.912356589458,4421,1,1,0
75,1699.7430761012622,4481,1,1,0
76,1717.5737956130663,4541,1,1,0
77,1735.4045151248708,4601,1,1,0
78,1753.2352346366752,4661,1,1,1
79,1771.0659541484797,4721,1,1,0
80,1788.8966736602838,4781,1,1,1
81,1806.727393172088,4841,1,1,0
82,1824.5581126838924,4901,1,1,0
83,1842.3888321956968,4961,1,1,0
84,1860.219551707501,5021,1,1,1
85,1878.0502712193052,5081,1,1,1
86,1895.8809907311097,5141,1,1,1
87,1913.711710242914,5201,1,1,1
88,1931.5424297547183,5261,1,1,1
89,1949.373149266523,5321,1,1,1
90,1967.203868778327,5381,1,1,0
91,986.7867893773276,5399,0,2,0
92,996.7809771224144,5459,0,2,0
93,1008.0113256843284,5519,0,2,0
94,1019.883888291454,5579,0,2,0
95,1031.584451810356,5639,0,2,0
96,1043.700412712635,5699,0,2,0
97,1056.4022865416548,5759,0,2,0
98,1069.564618027871,5819,0,2,0
99,1082.9009714689882,5879,0,2,0
100,1096.3681678321864,5939,0,2,0
101,1110.4522315647532,5999,0,2,0
102,1124.186989658631,6059,0,2,0
103,1137.824107469371,6119,0,2,0
104,1151.4654955436265,6179,0,2,0
105,1165.7065176124795,6239,0,2,0
106,1179.848676515532,6299,0,2,0
107,1194.742694025765,6359,0,2,0
108,1210.4001787627744,6419,0,2,0
109,1227.0207202088964,6479,0,2,0
110,1243.333643681097,6539,0,2,0
111,1259.6370180875097,6599,0,2,0
112,1277.1476441204609,6659,0,2,0
113,1294.822052547427,6719,0,2,0
114,1312.5975521324049,6779,0,2,0
115,1330.9676195469897,6839,0,2,0
116,1348.9212574303676,6899,0,2,0
117,1367.3940601597365,6959,0,2,0
118,1385.7960522185635,7019,0,2,0
119,1403.4463017889173,7079,0,2,0
120,1421.7018632068657,7139,0,2,0
121,1440.2524726257586,7199,1,2,0
122,1459.098130045596,7259,1,2,0
123,1478.2388354663776,7319,1,2,0
124,1497.6745888881037,7379,1,2,0
125,1517.405390310774,7439,1,2,0
126,1537.4312397343888,7499,1,2,0
127,1557.752137158948,7559,1,2,0
128,1578.3680825844517,7619,1,2,0
129,1599.2790760108994,7679,1,2,0
130,1620.4851174382918,7739,1,2,0
131,1641.9862068666284,7799,1,2,0
132,1663.7823442959095,7859,1,2,0
133,1685.873529726135,7919,1,2,0
134,1708.2597631573049,7979,1,2,0
135,1730.941044589419,8039,1,2,0
136,1753.9173740224778,8099,1,2,0
137,1777.1887514564808,8159,1,2,0
138,1800.7551768914282,8219,1,2,0
139,1824.61665,8279,1,2,0
140,1848.773171764156,8339,1,2,1
141,1873.2247412019367,8399,1,2,1
142,1897.9713586406615,8459,1,2,1
143,1923.013024080331,8519,1,2,1
144,1948.3497375209447,8579,1,2,1
145,1973.9814989625029,8639,1,2,1
146,1999.9083084050053,8699,1,2,1
147,2026.130165848452,8759,1,2,1
148,2052.6470712928435,8819,1,2,1
149,2079.45902473818,8879,1,2,1
150,1016.2472522354028,8938,0,3,0
151,1027.6820961097646,8998,0,3,0
152,1038.0637780532363,9058,0,3,0
153,1048.071930241534,9118,0,3,0
154,1058.5692083359488,9178,0,3,0
155,1069.242666095324,9238,0,3,0
156,1080.0766906889205,9298,0,3,0
157,1090.990289908788,9358,0,3,0
158,1101.8517547156457,9418,0,3,0
159,1112.726438308307,9478,0,3,0
160,1124.2224835470402,9538,0,3,0
161,1135.6045393395054,9598,0,3,0
162,1147.387944654779,9658,0,3,0
163,1159.1273874675824,9718,0,3,0
164,1171.4045904508037,9778,0,3,0
165,1183.9275913122397,9838,0,3,0
166,1196.8697858934222,9898,0,3,0
167,1209.7771266436189,9958,0,3,0
168,1223.0629165167454,10018,0,3,0
169,1236.5620632163009,10078,0,3,0
170,1250.164933340263,10138,0,3,0
171,1264.0847621772411,10198,0,3,0
172,1278.4136351118816,10258,0,3,0
173,1292.6836034126377,10318,0,3,0
174,1306.510807081341,10378,0,3,0
175,1320.3951222351734,10438,0,3,0
176,1334.7286695013852,10498,0,3,0
177,1349.0192203713286,10558,0,3,0
178,1363.4196059777112,10618,1,3,0
179,1377.9298263205326,10678,1,3,0
180,1392.549881399793,10738,1,3,0
181,1407.2797712154927,10798,1,3,0
182,1422.1194957676312,10858,1,3,0
183,1437.0690550562088,10918,1,3,0
184,1452.1284490812254,10978,1,3,0
185,1467.2976778426812,11038,1,3,0
186,1482.5767413405758,11098,1,3,0
187,1497.9656395749096,11158,1,3,0
188,1513.4643725456824,11218,1,3,0
189,1529.0729402528943,11278,1,3,0
190,1544.7913426965451,11338,1,3,0
191,1560.619579876635,11398,1,3,0
192,1576.557651793164,11458,1,3,0
193,1592.605558446132,11518,1,3,0
194,1608.7632998355389,11578,1,3,0
195,1625.030875961385,11638,1,3,0
196,1641.408287,11698,1,3,0
197,1657.895532422394,11758,1,3,0
198,1674.4926127575573,11818,1,3,0
199,1691.1995278291597,11878,1,3,0
200,1708.0162776372006,11938,1,3,0
201,1724.9428621816808,11998,1,3,0
202,1741.979281,12058,1,3,1
203,1759.1255354799584,12118,1,3,0
204,1776.3816242337557,12178,1,3,1
205,1793.747547723992,12238,1,3,1
206,1811.2233059506675,12298,1,3,0
207,912.5936881086718,12342,0,4,0
208,928.1849830590028,12402,0,4,0
209,938.6565835898182,12462,0,4,0
210,948.839814744518,12522,0,4,0
211,958.2961341535614,12582,0,4,0
212,967.7033881404658,12642,0,4,0
213,977.3439372577952,12702,0,4,0
214,987.6240246119952,12762,0,4,0
215,998.1757186243884,12822,0,4,0
216,1008.8591935538218,12882,0,4,0
217,1019.6005179537948,12942,0,4,0
218,1030.3334123462253,13002,0,4,0
219,1041.204688,13062,0,4,0
220,1052.442509453821,13122,0,4,0
221,1063.1524696828092,13182,0,4,0
222,1073.6115088708968,13242,0,4,0
223,1084.6728545207318,13302,0,4,0
224,1096.2125153814006,13362,0,4,0
225,1107.840441,13422,0,4,0
226,1119.9493729590454,13482,0,4,0
227,1131.6015358827433,13542,0,4,0
228,1144.0124237016073,13602,0,4,0
229,1156.095774192344,13662,0,4,0
230,1168.239261,13722,0,4,0
231,1181.095198747578,13782,0,4,0
232,1195.1711958649703,13842,0,4,0
233,1209.5669120672198,13902,0,4,0
234,1224.554768433018,13962,0,4,0
235,1240.7256574873168,14022,0,4,0
236,1258.402541231303,14082,0,4,0
237,1276.7289344128685,14142,0,4,0
238,1295.3509519770655,14202,0,4,0
239,1314.4116580550935,14262,0,4,0
240,1333.4723641331243,14322,1,4,0
241,1352.533070211155,14382,1,4,0
242,1371.5937762891858,14442,1,4,0
243,1390.6544823672166,14502,1,4,0
244,1409.7151884452471,14562,1,4,0
245,1428.775894523278,14622,1,4,0
246,1447.8366006013089,14682,1,4,0
247,1466.8973066793396,14742,1,4,0
248,1485.9580127573704,14802,1,4,0
249,1505.0187188354012,14862,1,4,0
250,1524.079424913432,14922,1,4,0
251,1543.140130991463,14982,1,4,0
252,1562.2008370694934,15042,1,4,0
253,1581.2615431475242,15102,1,4,0
254,1600.322249225555,15162,1,4,0
255,1619.3829553035855,15222,1,4,0
256,1638.4436613816165,15282,1,4,0
257,1657.5043674596473,15342,1,4,0
258,1676.565073537678,15402,1,4,0
259,1695.6257796157088,15462,1,4,1
260,1714.6864856937395,15522,1,4,1
261,1733.7471917717703,15582,1,4,0
262,1752.807897849801,15642,1,4,0
263,1771.8686039278318,15702,1,4,0
264,1790.9293100058626,15762,1,4,1
265,1809.9900160838931,15822,1,4,0
266,1829.050722161924,15882,1,4,1
267,1848.1114282399549,15942,1,4,1
268,1867.1721343179856,16002,1,4,1
269,1886.2328403960164,16062,1,4,1
270,1905.2935464740472,16122,1,4,0
271,1924.354252552078,16182,1,4,1
272,1943.414958630109,16242,1,4,1
273,1039.7744877268924,16295,0,5,0
274,1047.4736889529397,16355,0,5,0
275,1060.2603622825563,16415,0,5,0
276,1073.1237758196323,16475,0,5,0
277,1085.7731035502582,16535,0,5,0
278,1098.523491897345,16595,0,5,0
279,1111.665261996538,16655,0,5,0
280,1124.9435669928014,16715,0,5,0
281,1138.4896645543256,16775,0,5,0
282,1151.9512067953774,16835,0,5,0
283,1165.4796553010312,16895,0,5,0
284,1178.987884378863,16955,0,5,0
285,1193.022009091664,17015,0,5,0
286,1207.643908650988,17075,0,5,0
287,1222.224562524042,17135,0,5,0
288,1237.091815447321,17195,0,5,0
289,1252.3978524953077,17255,0,5,0
290,1268.961485210002,17315,0,5,0
291,1285.7740313646357,17375,0,5,0
292,1302.888580984281,17435,0,5,0
293,1320.0103563964235,17495,0,5,0
294,1337.873434798587,17555,0,5,0
295,1355.7264111207958,17615,0,5,0
296,1374.2892884885407,17675,0,5,0
297,1392.689676141474,17735,0,5,0
298,1411.1540422969954,17795,0,5,0
299,1429.4123941412693,17855,0,5,0
300,1448.1736121478257,17915,0,5,0
301,1467.3602923382475,17975,1,5,0
302,1486.9724347125357,18035,1,5,0
303,1507.0100392706893,18095,1,5,0
304,1527.4731060127085,18155,1,5,0
305,1548.3616349385936,18215,1,5,0
306,1569.6756260483444,18275,1,5,0
307,1591.415079341961,18335,1,5,0
308,1613.5799948194433,18395,1,5,0
309,1636.1703724807912,18455,1,5,0
310,1659.186212326005,18515,1,5,0
311,1682.6275143550845,18575,1,5,1
312,1706.4942785680296,18635,1,5,1
313,1730.7865049648406,18695,1,5,0
314,1755.5041935455172,18755,1,5,1
315,1780.6473443100597,18815,1,5,1
316,1806.215957258468,18875,1,5,0
317,1832.2100323907416,18935,1,5,0
318,1858.6295697068813,18995,1,5,0
319,1885.4745692068864,19055,1,5,0
320,1912.7450308907576,19115,1,5,1
321,1940.4409547584944,19175,1,5,1
322,1968.562340810097,19235,1,5,1
323,1997.1091890455652,19295,1,5,1
324,2026.0814994648997,19355,1,5,1
325,2055.4792720681,19415,1,5,1
326,2085.302506855165,19475,1,5,1
327,2115.5512038260968,19535,1,5,1
