cellMass,time,generation,label
1317.6581933555399,0,0,0
1331.654867894044,60,0,0
1348.5350896052382,120,0,0
1366.5037103252298,180,0,0
1384.7766748003094,240,0,0
1404.6602616554642,300,0,0
1425.4768572408407,360,0,0
1445.7825079967572,420,0,0
1465.9970377941377,480,0,0
1486.4557351646054,540,0,0
1507.0642801337717,600,0,0
1528.6174291417904,660,0,0
1551.0339547809651,720,0,0
1573.1802480735435,780,0,0
1594.627124,840,0,0
1616.3316674105167,900,0,0
1637.5513325153308,960,0,0
1658.763948,1020,0,0
1680.6156191593914,1080,0,0
1702.690638950543,1140,0,0
1724.8606056281585,1200,0,0
1747.0986551300252,1260,0,0
1769.9440716076654,1320,0,0
1792.675923,1380,0,0
1814.9533859041367,1440,0,0
1837.7755003524678,1500,0,0
1860.3189944852718,1560,0,0
1883.4804417304106,1620,0,0
1906.8712414855645,1680,0,0
1930.3071630966995,1740,0,0
1953.9601151278737,1800,0,0
1978.7178833186522,1860,0,0
2004.047121,1920,0,0
2029.1240354811935,1980,0,0
2054.709200606216,2040,0,0
2080.228359095733,2100,0,0
2107.4629702857746,2160,0,0
2134.946774665817,2220,0,0
2162.7743004684366,2280,0,0
2191.0752600401843,2340,0,0
2220.5314226360965,2400,0,0
2250.8043445863595,2460,0,1
1135.745174738792,2501,1,0
1152.0097648801004,2561,1,0
1167.3973193801633,2621,1,0
1182.6482672268971,2681,1,0
1198.4818684739428,2741,1,0
1214.1410361088208,2801,1,0
1229.891506347866,2861,1,0
1245.7948414781108,2921,1,0
1262.3082554565312,2981,1,0
1278.6102167166098,3041,1,0
1295.6440387939022,3101,1,0
1312.8335602435786,3161,1,0
1329.915651687539,3221,1,0
1347.3349085108052,3281,1,0
1364.6822174420925,3341,1,0
1381.9989929952533,3401,1,0
1399.783459019661,3461,1,0
1416.9538843010605,3521,1,0
1434.2727110551532,3581,1,0
1451.596284411944,3641,1,0
1468.882739651554,3701,1,0
1486.193478034693,3761,1,0
1503.6051614715295,3821,1,0
1521.4358809832188,3881,1,0
1538.689843203006,3941,1,0
1556.0926791733145,4001,1,0
1573.5145714614466,4061,1,0
1590.7012396200168,4121,1,0
1608.507872783186,4181,1,0
1625.918199631312,4241,1,0
1642.7392662472807,4301,1,0
1659.5098887394324,4361,1,0
1676.6965062951951,4421,1,0
1693.3478524004777,4481,1,0
1710.4204342147195,4541,1,0
1727.2323091196874,4601,1,0
1744.730452952219,4661,1,0
1762.1151881885437,4721,1,0
1780.216812411854,4781,1,0
1798.2314353093686,4841,1,0
1816.0271729154153,4901,1,0
1833.896663880188,4961,1,0
1851.9639424543325,5021,1,0
1870.8408453904156,5081,1,0
1889.4685244141854,5141,1,0
1908.6085458617758,5201,1,0
1927.787930183035,5261,1,0
1947.0591551515881,5321,1,0
1967.7477822102117,5381,1,1
986.7867893773276,5399,2,0
996.7809771224145,5459,2,0
1008.0113256843285,5519,2,0
1019.8838882914539,5579,2,0
1031.584451810356,5639,2,0
1043.700412712635,5699,2,0
1056.4022865416548,5759,2,0
1069.5646180278707,5819,2,0
1082.9009714689882,5879,2,0
1096.3681678321864,5939,2,0
1110.4522315647532,5999,2,0
1124.186989658631,6059,2,0
1137.824107469371,6119,2,0
1151.4654955436263,6179,2,0
1165.7065176124795,6239,2,0
1179.848676515532,6299,2,0
1194.7426940257653,6359,2,0
1210.4001787627744,6419,2,0
1227.0207202088964,6479,2,0
1243.333643681097,6539,2,0
1259.6370180875097,6599,2,0
1277.1476441204607,6659,2,0
1294.8220525474267,6719,2,0
1312.5975521324049,6779,2,0
1330.9676195469897,6839,2,0
1348.9212574303676,6899,2,0
1367.3940601597365,6959,2,0
1385.7960522185635,7019,2,0
1403.4463017889173,7079,2,0
1421.7018632068657,7139,2,0
1440.2389318555734,7199,2,0
1458.5899503017147,7259,2,0
1477.5964959748833,7319,2,0
1496.2958735377586,7379,2,0
1515.4002048332263,7439,2,0
1534.1770651247746,7499,2,0
1552.6817504362023,7559,2,0
1571.5012305904936,7619,2,0
1591.2464030541444,7679,2,0
1610.368697,7739,2,0
1628.072094585996,7799,2,0
1645.9897062023556,7859,2,0
1664.8618900606002,7919,2,0
1684.9020294537586,7979,2,0
1705.0799111145755,8039,2,0
1725.3597188984288,8099,2,0
1745.261840498504,8159,2,0
1765.2671094622824,8219,2,0
1786.0604434248048,8279,2,0
1806.7395578890587,8339,2,0
1828.2411980642385,8399,2,0
1849.5778173348426,8459,2,0
1871.1964751862795,8519,2,0
1893.014269855169,8579,2,0
1914.7017756578844,8639,2,0
1937.059348528393,8699,2,0
1959.7508647214536,8759,2,0
1984.1575127569504,8819,2,0
2008.4849829687992,8879,2,1
1016.2472522354028,8938,3,0
1027.6820961097646,8998,3,0
1038.0637780532365,9058,3,0
1048.0719302415341,9118,3,0
1058.5692083359488,9178,3,0
1069.242666095324,9238,3,0
1080.0766906889205,9298,3,0
1090.990289908788,9358,3,0
1101.8517547156455,9418,3,0
1112.726438308307,9478,3,0
1124.2224835470402,9538,3,0
1135.6045393395054,9598,3,0
1147.387944654779,9658,3,0
1159.1273874675824,9718,3,0
1171.4045904508037,9778,3,0
1183.9275913122397,9838,3,0
1196.8697858934222,9898,3,0
1209.7771266436189,9958,3,0
1223.0629165167454,10018,3,0
1236.5620632163007,10078,3,0
1250.164933340263,10138,3,0
1264.0847621772411,10198,3,0
1278.4136351118816,10258,3,0
1292.6836034126377,10318,3,0
1306.510807081341,10378,3,0
1320.3951222351734,10438,3,0
1334.7286695013852,10498,3,0
1349.0192203713286,10558,3,0
1363.658604444372,10618,3,0
1377.6933475275262,10678,3,0
1391.9776108547221,10738,3,0
1406.319783044842,10798,3,0
1420.7522767256507,10858,3,0
1434.913315720495,10918,3,0
1449.378962,10978,3,0
1463.5579544537964,11038,3,0
1477.214189776597,11098,3,0
1490.8913243357335,11158,3,0
1504.1009288102694,11218,3,0
1517.5625585661105,11278,3,0
1531.448688695063,11338,3,0
1545.665268,11398,3,0
1560.1650540451253,11458,3,0
1574.6542615496105,11518,3,0
1589.5836183440806,11578,3,0
1604.7224025641822,11638,3,0
1620.1186598556726,11698,3,0
1636.0032115618353,11758,3,0
1652.2484622863433,11818,3,0
1669.4759687270046,11878,3,0
1687.5479872866988,11938,3,0
1706.481689154712,11998,3,0
1726.3647326843488,12058,3,0
1746.2741670368166,12118,3,0
1766.8278358620234,12178,3,0
1787.6183073224977,12238,3,0
1808.6756895567069,12298,3,1
912.5936881086718,12342,4,0
928.1849830590028,12402,4,0
938.6565835898182,12462,4,0
948.8398147445179,12522,4,0
958.2961341535614,12582,4,0
967.7033881404658,12642,4,0
977.3439372577952,12702,4,0
987.6240246119952,12762,4,0
998.1757186243883,12822,4,0
1008.8591935538218,12882,4,0
1019.6005179537948,12942,4,0
1030.3334123462253,13002,4,0
1041.204688,13062,4,0
1052.442509453821,13122,4,0
1063.1524696828092,13182,4,0
1073.6115088708968,13242,4,0
1084.6728545207318,13302,4,0
1096.2125153814006,13362,4,0
1107.840441,13422,4,0
1119.9493729590454,13482,4,0
1131.6015358827433,13542,4,0
1144.0124237016073,13602,4,0
1156.095774192344,13662,4,0
1168.239261,13722,4,0
1181.095198747578,13782,4,0
1195.1711958649703,13842,4,0
1209.5669120672198,13902,4,0
1224.5547684330181,13962,4,0
1240.7256574873168,14022,4,0
1258.402541231303,14082,4,0
1276.7289344128683,14142,4,0
1295.3509519770657,14202,4,0
1314.4116580550935,14262,4,0
1334.2695775986429,14322,4,0
1353.7224683410957,14382,4,0
1373.5047505698656,14442,4,0
1393.5089194871744,14502,4,0
1414.1000265254045,14562,4,0
1435.9702526052515,14622,4,0
1458.6332977487345,14682,4,0
1481.3965582033954,14742,4,0
1505.2907756277023,14802,4,0
1528.7345687299346,14862,4,0
1552.0648532199937,14922,4,0
1575.5137672630738,14982,4,0
1599.6021662479823,15042,4,0
1623.6665337424033,15102,4,0
1647.7343808793853,15162,4,0
1671.8636151986343,15222,4,0
1696.1727398074938,15282,4,0
1720.1374750559155,15342,4,0
1743.5367396977103,15402,4,0
1767.397531140026,15462,4,0
1790.5464287312293,15522,4,0
1812.9905368417164,15582,4,0
1835.480152246123,15642,4,0
1858.259301,15702,4,0
1881.0235064788956,15762,4,0
1903.1979501466867,15822,4,0
1924.9513915424275,15882,4,0
1946.7346788061545,15942,4,0
1969.7608214884838,16002,4,0
1992.8572594623045,16062,4,0
2015.4394049365133,16122,4,0
2038.4705169842543,16182,4,0
2061.4979489073817,16242,4,1
1039.7744877268924,16295,5,0
1047.4736889529397,16355,5,0
1060.2603622825563,16415,5,0
1073.1237758196323,16475,5,0
1085.7731035502582,16535,5,0
1098.523491897345,16595,5,0
1111.665261996538,16655,5,0
1124.9435669928014,16715,5,0
1138.4896645543256,16775,5,0
1151.9512067953774,16835,5,0
1165.4796553010312,16895,5,0
1178.9878843788633,16955,5,0
1193.0220090916641,17015,5,0
1207.643908650988,17075,5,0
1222.2245625240419,17135,5,0
1237.091815447321,17195,5,0
1252.3978524953077,17255,5,0
1268.961485210002,17315,5,0
1285.7740313646357,17375,5,0
1302.888580984281,17435,5,0
1320.0103563964237,17495,5,0
1337.8734347985867,17555,5,0
1355.7264111207958,17615,5,0
1374.2892884885407,17675,5,0
1392.6896761414741,17735,5,0
1411.1540422969954,17795,5,0
1429.4123941412693,17855,5,0
1448.1736121478257,17915,5,0
1467.8334396254713,17975,5,0
1487.1773797144856,18035,5,0
1506.3332762893492,18095,5,0
1526.3209547375955,18155,5,0
1546.9281372594617,18215,5,0
1567.6635105391906,18275,5,0
1589.1087387455093,18335,5,0
1611.352821053663,18395,5,0
1633.447413423864,18455,5,0
1656.1498675207602,18515,5,0
1678.237572770639,18575,5,0
1701.1062327292532,18635,5,0
1724.2635908195393,18695,5,0
1746.831621712748,18755,5,0
1770.3766611708493,18815,5,0
1794.4164328463526,18875,5,0
1819.417923070596,18935,5,0
1844.943978629897,18995,5,0
1869.757864,19055,5,0
1894.3343914414932,19115,5,0
1918.4174911834775,19175,5,0
1942.5862544459621,19235,5,0
1967.602415942408,19295,5,0
1994.3940994121815,19355,5,0
2020.6637982557836,19415,5,0
2047.8474374198504,19475,5,0
2075.1170219458904,19535,5,1
