,cellMass,time,generation,label,class
0,1317.65819335554,0,0,0,0
1,1331.654867894044,60,0,0,0
2,1348.5350896052382,120,0,0,0
3,1366.5037103252298,180,0,0,0
4,1384.7766748003094,240,0,0,0
5,1404.6602616554642,300,0,0,0
6,1425.476857240841,360,0,0,0
7,1445.7825079967572,420,0,0,0
8,1465.9970377941377,480,0,0,0
9,1486.4557351646054,540,0,0,0
10,1507.0642801337715,600,0,0,0
11,1528.6174291417904,660,0,0,0
12,1551.0339547809651,720,0,0,0
13,1573.1802480735437,780,0,0,0
14,1594.627124,840,0,0,0
15,1616.3316674105167,900,0,0,0
16,1637.5513325153308,960,0,0,1
17,1658.763948,1020,0,0,1
18,1680.6156191593914,1080,0,0,0
19,1702.690638950543,1140,0,0,0
20,1724.8606056281585,1200,0,0,0
21,1747.0986551300252,1260,0,0,1
22,1769.9440716076654,1320,0,0,0
23,1792.675923,1380,0,0,1
24,1814.953385904137,1440,0,0,0
25,1837.775500352468,1500,0,0,1
26,1860.318994485272,1560,0,0,1
27,1883.4804417304103,1620,0,0,1
28,1906.8712414855645,1680,0,0,1
29,1930.3071630966997,1740,0,0,1
30,1953.9601151278737,1800,0,0,0
31,1978.717883318652,1860,0,0,1
32,2004.047121,1920,0,0,1
33,2029.1240354811932,1980,0,0,1
34,2054.709200606216,2040,0,0,1
35,2080.228359095733,2100,0,0,1
36,2107.462970285774,2160,0,0,1
37,2134.946774665817,2220,0,0,1
38,2162.7743004684366,2280,0,0,1
39,2191.0752600401843,2340,0,0,1
40,2220.5314226360965,2400,0,0,1
41,2250.8043445863595,2460,0,1,1
42,1135.745174738792,2501,1,0,0
43,1152.0097648801004,2561,1,0,0
44,1167.3973193801633,2621,1,0,0
45,1182.6482672268971,2681,1,0,0
46,1198.4818684739428,2741,1,0,0
47,1214.1410361088208,2801,1,0,0
48,1229.891506347866,2861,1,0,0
49,1245.7948414781108,2921,1,0,0
50,1262.3082554565312,2981,1,0,0
51,1278.6102167166098,3041,1,0,0
52,1295.6440387939022,3101,1,0,0
53,1312.8335602435786,3161,1,0,0
54,1329.915651687539,3221,1,0,0
55,1347.3349085108052,3281,1,0,0
56,1364.6822174420925,3341,1,0,0
57,1381.9989929952533,3401,1,0,0
58,1399.783459019661,3461,1,0,0
59,1416.9538843010605,3521,1,0,0
60,1434.2727110551532,3581,1,0,0
61,1451.596284411944,3641,1,0,0
62,1468.882739651554,3701,1,0,0
63,1486.193478034693,3761,1,0,0
64,1503.6051614715295,3821,1,0,0
65,1521.4358809832188,3881,1,0,0
66,1538.689843203006,3941,1,0,0
67,1556.0926791733143,4001,1,0,0
68,1573.5145714614466,4061,1,0,0
69,1590.7012396200168,4121,1,0,0
70,1608.507872783186,4181,1,0,0
71,1625.918199631312,4241,1,0,0
72,1642.7392662472807,4301,1,0,0
73,1659.5098887394324,4361,1,0,1
74,1676.6965062951951,4421,1,0,0
75,1693.3478524004777,4481,1,0,1
76,1710.4204342147195,4541,1,0,0
77,1727.2323091196874,4601,1,0,0
78,1744.730452952219,4661,1,0,0
79,1762.1151881885437,4721,1,0,0
80,1780.216812411854,4781,1,0,1
81,1798.2314353093686,4841,1,0,1
82,1816.0271729154156,4901,1,0,0
83,1833.896663880188,4961,1,0,1
84,1851.9639424543325,5021,1,0,1
85,1870.840845390416,5081,1,0,1
86,1889.4685244141851,5141,1,0,1
87,1908.608545861776,5201,1,0,0
88,1927.787930183035,5261,1,0,1
89,1947.059155151588,5321,1,0,1
90,1967.747782210212,5381,1,1,1
91,986.7867893773276,5399,2,0,0
92,996.7809771224144,5459,2,0,0
93,1008.0113256843284,5519,2,0,0
94,1019.883888291454,5579,2,0,0
95,1031.584451810356,5639,2,0,0
96,1043.700412712635,5699,2,0,0
97,1056.4022865416548,5759,2,0,0
98,1069.564618027871,5819,2,0,0
99,1082.9009714689882,5879,2,0,0
100,1096.3681678321864,5939,2,0,0
101,1110.4522315647532,5999,2,0,0
102,1124.186989658631,6059,2,0,0
103,1137.824107469371,6119,2,0,0
104,1151.4654955436265,6179,2,0,0
105,1165.7065176124795,6239,2,0,0
106,1179.848676515532,6299,2,0,0
107,1194.742694025765,6359,2,0,0
108,1210.4001787627744,6419,2,0,0
109,1227.0207202088964,6479,2,0,0
110,1243.333643681097,6539,2,0,0
111,1259.6370180875097,6599,2,0,0
112,1277.1476441204609,6659,2,0,0
113,1294.822052547427,6719,2,0,0
114,1312.5975521324049,6779,2,0,0
115,1330.9676195469897,6839,2,0,0
116,1348.9212574303676,6899,2,0,0
117,1367.3940601597365,6959,2,0,0
118,1385.7960522185635,7019,2,0,0
119,1403.4463017889173,7079,2,0,0
120,1421.7018632068657,7139,2,0,0
121,1440.2389318555734,7199,2,0,0
122,1458.589950301715,7259,2,0,0
123,1477.5964959748833,7319,2,0,0
124,1496.2958735377586,7379,2,0,0
125,1515.4002048332263,7439,2,0,0
126,1534.1770651247746,7499,2,0,0
127,1552.6817504362025,7559,2,0,0
128,1571.5012305904936,7619,2,0,0
129,1591.2464030541444,7679,2,0,0
130,1610.368697,7739,2,0,0
131,1628.072094585996,7799,2,0,0
132,1645.9897062023556,7859,2,0,0
133,1664.8618900606002,7919,2,0,0
134,1684.9020294537586,7979,2,0,0
135,1705.0799111145757,8039,2,0,1
136,1725.3597188984288,8099,2,0,0
137,1745.261840498504,8159,2,0,1
138,1765.2671094622824,8219,2,0,0
139,1786.0604434248048,8279,2,0,0
140,1806.7395578890587,8339,2,0,0
141,1828.2411980642385,8399,2,0,0
142,1849.5778173348424,8459,2,0,0
143,1871.1964751862797,8519,2,0,0
144,1893.014269855169,8579,2,0,1
145,1914.7017756578844,8639,2,0,1
146,1937.059348528393,8699,2,0,1
147,1959.7508647214536,8759,2,0,1
148,1984.1575127569504,8819,2,0,1
149,2008.4849829687992,8879,2,1,0
150,1016.2472522354028,8938,3,0,0
151,1027.6820961097646,8998,3,0,0
152,1038.0637780532363,9058,3,0,0
153,1048.071930241534,9118,3,0,0
154,1058.5692083359488,9178,3,0,0
155,1069.242666095324,9238,3,0,0
156,1080.0766906889205,9298,3,0,0
157,1090.990289908788,9358,3,0,0
158,1101.8517547156457,9418,3,0,0
159,1112.726438308307,9478,3,0,0
160,1124.2224835470402,9538,3,0,0
161,1135.6045393395054,9598,3,0,0
162,1147.387944654779,9658,3,0,0
163,1159.1273874675824,9718,3,0,0
164,1171.4045904508037,9778,3,0,0
165,1183.9275913122397,9838,3,0,0
166,1196.8697858934222,9898,3,0,0
167,1209.7771266436189,9958,3,0,0
168,1223.0629165167454,10018,3,0,0
169,1236.5620632163009,10078,3,0,0
170,1250.164933340263,10138,3,0,0
171,1264.0847621772411,10198,3,0,0
172,1278.4136351118816,10258,3,0,0
173,1292.6836034126377,10318,3,0,0
174,1306.510807081341,10378,3,0,0
175,1320.3951222351734,10438,3,0,0
176,1334.7286695013852,10498,3,0,0
177,1349.0192203713286,10558,3,0,0
178,1363.658604444372,10618,3,0,0
179,1377.6933475275262,10678,3,0,0
180,1391.977610854722,10738,3,0,0
181,1406.319783044842,10798,3,0,0
182,1420.7522767256507,10858,3,0,0
183,1434.913315720495,10918,3,0,0
184,1449.378962,10978,3,0,0
185,1463.5579544537964,11038,3,0,0
186,1477.214189776597,11098,3,0,0
187,1490.8913243357335,11158,3,0,0
188,1504.1009288102694,11218,3,0,0
189,1517.5625585661105,11278,3,0,0
190,1531.448688695063,11338,3,0,0
191,1545.665268,11398,3,0,0
192,1560.165054045125,11458,3,0,0
193,1574.6542615496105,11518,3,0,0
194,1589.5836183440806,11578,3,0,0
195,1604.7224025641822,11638,3,0,0
196,1620.1186598556726,11698,3,0,0
197,1636.003211561835,11758,3,0,0
198,1652.2484622863433,11818,3,0,0
199,1669.4759687270046,11878,3,0,0
200,1687.5479872866988,11938,3,0,0
201,1706.481689154712,11998,3,0,1
202,1726.3647326843488,12058,3,0,1
203,1746.2741670368166,12118,3,0,0
204,1766.8278358620234,12178,3,0,0
205,1787.6183073224977,12238,3,0,0
206,1808.6756895567069,12298,3,1,0
207,912.5936881086718,12342,4,0,0
208,928.1849830590028,12402,4,0,0
209,938.6565835898182,12462,4,0,0
210,948.839814744518,12522,4,0,0
211,958.2961341535614,12582,4,0,0
212,967.7033881404658,12642,4,0,0
213,977.3439372577952,12702,4,0,0
214,987.6240246119952,12762,4,0,0
215,998.1757186243884,12822,4,0,0
216,1008.8591935538218,12882,4,0,0
217,1019.6005179537948,12942,4,0,0
218,1030.3334123462253,13002,4,0,0
219,1041.204688,13062,4,0,0
220,1052.442509453821,13122,4,0,0
221,1063.1524696828092,13182,4,0,0
222,1073.6115088708968,13242,4,0,0
223,1084.6728545207318,13302,4,0,0
224,1096.2125153814006,13362,4,0,0
225,1107.840441,13422,4,0,0
226,1119.9493729590454,13482,4,0,0
227,1131.6015358827433,13542,4,0,0
228,1144.0124237016073,13602,4,0,0
229,1156.095774192344,13662,4,0,0
230,1168.239261,13722,4,0,0
231,1181.095198747578,13782,4,0,0
232,1195.1711958649703,13842,4,0,0
233,1209.5669120672198,13902,4,0,0
234,1224.554768433018,13962,4,0,0
235,1240.7256574873168,14022,4,0,0
236,1258.402541231303,14082,4,0,0
237,1276.7289344128685,14142,4,0,0
238,1295.3509519770655,14202,4,0,0
239,1314.4116580550935,14262,4,0,0
240,1334.2695775986429,14322,4,0,0
241,1353.7224683410957,14382,4,0,0
242,1373.5047505698656,14442,4,0,0
243,1393.5089194871744,14502,4,0,0
244,1414.1000265254045,14562,4,0,0
245,1435.9702526052515,14622,4,0,0
246,1458.6332977487343,14682,4,0,0
247,1481.3965582033954,14742,4,0,0
248,1505.2907756277025,14802,4,0,0
249,1528.7345687299346,14862,4,0,0
250,1552.0648532199937,14922,4,0,0
251,1575.5137672630738,14982,4,0,0
252,1599.6021662479825,15042,4,0,0
253,1623.666533742403,15102,4,0,0
254,1647.7343808793853,15162,4,0,0
255,1671.8636151986343,15222,4,0,0
256,1696.1727398074938,15282,4,0,1
257,1720.1374750559155,15342,4,0,0
258,1743.5367396977103,15402,4,0,0
259,1767.397531140026,15462,4,0,1
260,1790.5464287312293,15522,4,0,1
261,1812.9905368417164,15582,4,0,0
262,1835.480152246123,15642,4,0,1
263,1858.259301,15702,4,0,0
264,1881.023506478896,15762,4,0,1
265,1903.1979501466867,15822,4,0,1
266,1924.9513915424277,15882,4,0,0
267,1946.7346788061543,15942,4,0,1
268,1969.760821488484,16002,4,0,1
269,1992.8572594623045,16062,4,0,1
270,2015.4394049365133,16122,4,0,1
271,2038.4705169842543,16182,4,0,1
272,2061.4979489073817,16242,4,1,1
273,1039.7744877268924,16295,5,0,0
274,1047.4736889529397,16355,5,0,0
275,1060.2603622825563,16415,5,0,0
276,1073.1237758196323,16475,5,0,0
277,1085.7731035502582,16535,5,0,0
278,1098.523491897345,16595,5,0,0
279,1111.665261996538,16655,5,0,0
280,1124.9435669928014,16715,5,0,0
281,1138.4896645543256,16775,5,0,0
282,1151.9512067953774,16835,5,0,0
283,1165.4796553010312,16895,5,0,0
284,1178.987884378863,16955,5,0,0
285,1193.022009091664,17015,5,0,0
286,1207.643908650988,17075,5,0,0
287,1222.224562524042,17135,5,0,0
288,1237.091815447321,17195,5,0,0
289,1252.3978524953077,17255,5,0,0
290,1268.961485210002,17315,5,0,0
291,1285.7740313646357,17375,5,0,0
292,1302.888580984281,17435,5,0,0
293,1320.0103563964235,17495,5,0,0
294,1337.873434798587,17555,5,0,0
295,1355.7264111207958,17615,5,0,0
296,1374.2892884885407,17675,5,0,0
297,1392.689676141474,17735,5,0,0
298,1411.1540422969954,17795,5,0,0
299,1429.4123941412693,17855,5,0,0
300,1448.1736121478257,17915,5,0,0
301,1467.833439625471,17975,5,0,0
302,1487.1773797144856,18035,5,0,0
303,1506.3332762893492,18095,5,0,0
304,1526.3209547375957,18155,5,0,0
305,1546.9281372594617,18215,5,0,0
306,1567.6635105391906,18275,5,0,0
307,1589.1087387455093,18335,5,0,0
308,1611.352821053663,18395,5,0,0
309,1633.447413423864,18455,5,0,0
310,1656.1498675207602,18515,5,0,0
311,1678.237572770639,18575,5,0,0
312,1701.1062327292532,18635,5,0,0
313,1724.263590819539,18695,5,0,0
314,1746.831621712748,18755,5,0,0
315,1770.3766611708493,18815,5,0,0
316,1794.4164328463526,18875,5,0,0
317,1819.417923070596,18935,5,0,1
318,1844.943978629897,18995,5,0,0
319,1869.757864,19055,5,0,0
320,1894.3343914414927,19115,5,0,0
321,1918.4174911834773,19175,5,0,1
322,1942.586254445962,19235,5,0,1
323,1967.602415942408,19295,5,0,1
324,1994.3940994121813,19355,5,0,1
325,2020.663798255784,19415,5,0,1
326,2047.8474374198504,19475,5,0,1
327,2075.1170219458904,19535,5,1,1
